CT2010	BuiltFAR	ResidFAR	CommFAR
291	3.11	3.44	0
293	3.88	3.44	0
307	1	0	2
293	3.62	3.44	0
307	3.46	3.44	0
309	1	2.43	0
307	1.69	0	2
291	3.16	3.44	0
307	4.57	3.44	0
 	0	0	1
293	4.56	3.44	0
299	3.9	3.44	0
 	0	3.44	0
309	0.89	2.43	0
303	1.76	0	2
291	2.59	3.44	0
293	3.26	3.44	0
299	0.89	0	1
295	0	3.44	0
309	0.58	2.43	0
307	3.96	3.44	0
303	3.56	3.44	0
295	2.96	3.44	0
293	2.8	3.44	0
309	0.89	2.43	0
291	2.55	3.44	0
293	3.14	3.44	0
291	3.8	3.44	3.4
295	3.57	3.44	0
299	1	0	1
307	2.83	3.44	0
299	0	0	1
293	0.16	3.44	0
299	0.05	0	2
295	3.03	3.44	0
293	3.91	3.44	0
295	4.91	3.44	0
303	3.72	0	2
299	1.98	0	2
299	4.02	3.44	0
303	3.68	3.44	0
291	3.02	3.44	0
307	4.25	3.44	0
309	3.99	1.25	0
307	4.25	3.44	0
295	4.21	3.44	0
291	2.19	3.44	3.4
303	4.67	3.44	0
309	0.9	2.43	0
291	3.16	3.44	0
291	0.98	3.44	0
291	4.34	3.44	0
293	3.54	3.44	0
299	3.9	3.44	0
309	0.85	1.25	0
293	3.47	3.44	0
295	4.33	3.44	0
291	2.27	3.44	0
291	2.88	3.44	0
307	6.41	3.44	0
299	0.43	0	1
295	3.48	3.44	0
295	3.84	3.44	0
295	3.75	3.44	0
291	3.16	3.44	0
291	3.02	3.44	0
309	3.99	2.43	0
295	3.26	3.44	0
307	0.92	3.44	0
293	0.67	3.44	0
293	3.12	3.44	0
307	1.16	3.44	0
307	3.98	3.44	0
303	1.19	3.44	0
291	2.85	3.44	0
 	0	0	1
303	0.17	0	2
295	3.57	3.44	0
291	3.48	3.44	0
293	3.87	3.44	0
295	4.46	3.44	0
293	3.61	3.44	0
309	0.82	3.44	0
309	4.31	2.43	0
291	3.46	3.44	0
303	4.22	3.44	0
291	3.52	3.44	0
303	3.34	3.44	0
303	4.72	3.44	0
291	3.16	3.44	0
307	5.51	3.44	0
309	1.11	2.43	0
295	3.34	3.44	0
293	3.37	3.44	0
295	4.72	3.44	0
307	4.44	3.44	0
293	4.73	3.44	0
293	2.66	3.44	0
303	0	0	2
293	4.69	3.44	0
295	5.06	3.44	0
303	3.5	3.44	0
299	0.1	3.44	0
299	0	0	2
303	4.33	3.44	0
293	4.01	3.44	0
307	4.05	3.44	0
307	0.78	3.44	0
299	0.3	0	1
293	3.93	3.44	0
307	0.47	0	2
307	0.87	3.44	0
309	1.76	2.43	0
291	0.22	3.44	0
291	3.41	3.44	0
291	3.11	3.44	0
309	0.48	1.25	0
295	0.04	0	0
293	3.82	3.44	0
291	1	3.44	0
307	1.2	3.44	0
293	1.67	3.44	0
291	4.05	3.44	0
293	1	3.44	0
307	0.84	3.44	0
307	0	0	2
295	4.53	3.44	0
293	3.17	3.44	0
309	0.94	3.44	0
293	1	3.44	0
295	1.96	3.44	0
291	0.91	3.44	0
295	3.48	3.44	0
307	0.61	0	2
293	1.79	3.44	0
307	0.81	3.44	0
303	4.17	3.44	0
295	0.87	3.44	0
309	0.53	1.25	0
307	4.53	0	2
303	3.67	3.44	0
291	3.11	3.44	0
303	3.96	3.44	0
307	3.85	3.44	0
295	1.96	3.44	0
291	3.02	3.44	3.4
299	0	0	2
309	4.13	2.43	0
303	4.77	3.44	0
293	4.15	3.44	0
293	4.51	3.44	0
307	0.81	3.44	0
293	4.07	3.44	0
303	3.85	3.44	0
303	4.49	3.44	0
295	3.47	3.44	0
303	1	3.44	0
295	3.64	3.44	0
307	4.11	3.44	0
291	3.83	3.44	0
303	3.89	0	2
309	0.43	3.44	0
293	1.86	3.44	0
309	3.1	2.43	0
299	0	0	2
293	1.26	3.44	0
291	2.86	3.44	0
295	4.2	3.44	0
307	0.81	3.44	0
309	3.48	1.25	0
291	4.07	3.44	0
309	1.1	3.44	0
295	1.67	3.44	0
299	1.65	3.44	0
299	0	0	1
295	1.96	3.44	0
291	3.06	3.44	0
307	3.79	0	2
295	1.67	3.44	0
293	1.79	0	2
291	3.96	3.44	0
295	2.96	3.44	0
303	1	0	2
299	0.49	0	1
295	3.86	3.44	0
293	3.79	3.44	0
291	3.02	3.44	0
 	0	0	0
295	0.56	3.44	0
299	0	0	1
303	3.43	3.44	0
309	4.22	2.43	0
291	1	3.44	0
293	0.67	3.44	0
293	4.04	3.44	0
295	1.96	3.44	0
309	1.16	1.25	0
309	1	1.25	0
309	0.95	1.25	0
299	0	0	1
307	4.25	3.44	0
295	4.74	3.44	0
291	2.85	3.44	0
303	3.9	3.44	0
295	5.02	3.44	0
291	3.11	3.44	0
299	0	0	2
295	4.4	3.44	0
303	4.77	3.44	0
291	3.87	3.44	0
291	2.55	3.44	0
291	3.45	3.44	0
309	0.94	3.44	0
291	1.73	3.44	0
293	1.87	3.44	0
291	2	3.44	0
309	0.49	2.43	0
303	3.38	3.44	0
293	4	3.44	0
295	1.02	3.44	0
299	0	0	2
291	1	3.44	0
309	0	2.43	0
291	2.7	3.44	0
295	0	3.44	0
293	4.37	3.44	0
291	3.35	3.44	0
291	1	3.44	3.4
309	0.96	1.25	0
307	1	0	2
291	3.16	3.44	0
291	0.94	3.44	0
291	3.02	3.44	3.4
293	3.59	3.44	0
303	3.39	3.44	0
293	2.59	3.44	0
291	3.16	3.44	0
309	0.95	2.43	0
293	3.76	3.44	0
295	4.99	3.44	0
303	3.1	3.44	0
293	3.38	3.44	0
309	0	0	2
303	4.72	3.44	0
291	2.88	3.44	0
291	2.85	3.44	0
309	0.83	1.25	0
299	0.71	0	2
303	0.45	0	2
307	0.54	3.44	0
307	0	3.44	0
299	1.55	0	1
295	4.4	3.44	0
307	4.55	3.44	0
299	0.75	3.44	0
309	0.78	1.25	0
295	1.96	3.44	0
295	3.33	3.44	0
291	3.02	3.44	0
293	2.87	3.44	0
309	3.75	2.43	0
309	0	0	1
303	3.74	3.44	0
293	0.99	3.44	0
299	0.57	3.44	0
291	3.41	3.44	0
293	1.91	3.44	0
307	1.08	0	2
295	4.02	3.44	0
293	1	3.44	0
299	0.49	0	1
303	3.8	3.44	0
309	1.76	2.43	0
307	1.22	3.44	0
309	0.25	0	2
307	1.87	0	2
307	0.61	3.44	0
291	3.02	3.44	0
303	0.43	0	2
309	1.76	2.43	0
309	1.35	2.43	0
291	3.62	3.44	0
293	2.78	3.44	0
295	4.22	3.44	0
295	4.79	3.44	0
307	0.81	3.44	0
291	2.92	3.44	0
307	3.33	3.44	0
291	3.53	3.44	0
299	0	0	2
291	3.41	3.44	0
299	1	0	1
293	2.38	3.44	0
307	5.97	3.44	0
307	4.16	3.44	0
295	1.96	3.44	0
309	3.89	1.25	0
299	1.68	3.44	0
307	1.23	3.44	0
293	5.46	3.44	0
293	1	3.44	0
 	0	0	2
291	1.18	3.44	0
309	0.9	1.25	0
293	0.35	3.44	0
299	0	0	1
295	3.74	3.44	0
309	0.94	3.44	0
309	4.13	2.43	0
291	3.02	3.44	0
295	3.12	3.44	0
295	4.09	3.44	0
295	4.31	3.44	0
303	3.81	3.44	0
307	3.9	3.44	0
291	0	3.44	0
307	0	0	2
299	1	0	2
295	1.67	3.44	0
293	3.75	3.44	0
295	3.64	3.44	0
 	0	0	1
307	4.51	3.44	0
291	3.98	3.44	0
303	3.49	3.44	0
295	3.2	3.44	0
293	1.37	3.44	0
299	0	0	1
293	1	3.44	0
293	4.06	3.44	0
293	1.3	3.44	0
307	0.68	3.44	0
293	0.8	3.44	0
309	0	0	1
295	3.77	3.44	0
293	1	3.44	0
307	0.88	3.44	0
293	4.12	3.44	0
 	0	0	0
309	1.76	2.43	0
309	0.53	2.43	0
309	3.56	2.43	0
295	4.6	3.44	0
303	0	0	0
293	2.68	3.44	0
291	0.91	3.44	3.4
295	2.72	3.44	0
291	3.52	3.44	0
303	2.81	3.44	0
309	0.55	2.43	0
303	3.54	3.44	0
299	1.19	0	1
291	2	3.44	3.4
299	1	0	1
295	1.45	3.44	0
307	0	3.44	0
309	4.35	2.43	0
291	3.48	3.44	0
291	3.02	3.44	0
303	3.95	0	2
291	3.27	3.44	0
307	7.81	3.44	0
293	3.11	3.44	0
291	2.85	3.44	0
303	3	3.44	0
291	3.65	3.44	0
303	4.12	3.44	0
293	2.58	3.44	0
309	1.39	2.43	0
295	3.53	3.44	0
293	0.44	3.44	0
309	0.67	1.25	0
295	3.77	3.44	0
307	4.3	3.44	0
291	4.42	3.44	0
295	1.96	3.44	0
291	1	3.44	0
293	2.78	3.44	0
303	0.69	3.44	0
307	0.89	3.44	0
291	2.42	3.44	0
299	0	0	1
291	0	3.44	3.4
299	2.6	0	1
291	3.81	3.44	0
299	1	3.44	0
293	3.69	3.44	0
293	3.55	3.44	0
299	0	3.44	0
293	3.93	3.44	0
295	1.96	3.44	0
309	1.53	2.43	0
291	3.45	3.44	0
309	3.34	2.43	0
309	0.81	1.25	0
291	3	3.44	0
309	1.39	2.43	0
309	0	0	2
291	4.07	3.44	0
291	2.37	3.44	0
295	0	3.44	0
291	2.73	3.44	0
293	3.98	3.44	0
293	4.69	3.44	0
309	0.35	1.25	0
291	3.45	3.44	0
293	2.82	3.44	0
291	2.85	3.44	0
309	4.22	2.43	0
299	0	0	2
293	4.1	3.44	0
307	0.45	0	2
293	2.59	3.44	0
303	4.52	3.44	0
293	0.51	3.44	0
299	0.08	0	1
309	1.26	2.43	0
299	1.33	0	1
293	3.63	3.44	0
303	4.9	3.44	0
293	3.16	3.44	0
309	1.23	1.25	0
291	3.5	3.44	0
303	0	0	0
291	3.38	3.44	0
295	3.99	3.44	0
293	3.77	3.44	0
303	0	3.44	0
291	4.08	3.44	0
295	1.96	3.44	0
295	4.48	3.44	0
309	0.75	2.43	0
291	3.53	3.44	0
293	4.06	3.44	0
307	4.08	3.44	0
309	0	0	1
303	0.67	3.44	0
309	8.59	3.44	0
291	3.98	3.44	0
307	4.93	3.44	0
299	1	0	2
309	1.38	1.25	0
 	0	0	2
303	4.28	3.44	0
293	3.26	3.44	0
295	3.46	3.44	0
299	0.37	0	2
291	0.53	3.44	3.4
291	3.11	3.44	0
291	2.85	3.44	0
309	0.99	2.43	0
295	4.21	3.44	0
291	3.72	3.44	0
303	4.07	3.44	0
303	4.12	3.44	0
303	3.68	3.44	0
307	3.23	3.44	0
309	3.44	2.43	0
307	3.87	3.44	0
295	2.23	3.44	0
303	1	0	2
295	5.06	3.44	0
299	0	0	2
303	6.56	0	5
299	0	0	1
309	0	0	2
309	1.3	1.25	0
309	0.95	1.25	0
309	0.6	1.25	0
309	0.94	1.25	0
309	0.7	1.25	0
309	1.54	1.25	0
 	0	1.25	0
309	0.85	1.25	0
309	0.54	1.25	0
309	1.36	1.25	0
309	1.39	1.25	0
309	0.8	1.25	0
309	1.87	1.25	0
309	1.02	1.25	0
309	3.52	2.43	0
309	2.94	2.43	0
309	4.78	2.43	0
309	0.63	1.25	0
309	0.49	1.25	0
309	0.67	1.25	0
309	0.64	1.25	0
309	0.78	1.25	0
309	1.49	1.25	0
309	0.6	1.25	0
309	0.56	1.25	0
309	0.58	1.25	0
309	0.88	2.43	0
309	1.18	1.25	0
309	1.19	1.25	0
309	1.37	1.25	0
309	0.79	1.25	0
309	2.22	2.43	0
309	1.27	1.25	0
309	1.18	1.25	0
309	1.26	1.25	0
309	1.28	1.25	0
309	0.98	2.43	0
309	1.48	1.25	0
309	0.76	1.25	0
309	0.57	0	1
309	1.31	2.43	0
309	0.62	1.25	0
309	0.45	1.25	0
309	2.04	1.25	0
309	1.08	2.43	0
309	1.24	1.25	0
309	0.17	1.25	0
309	1.15	1.25	0
309	3.92	3.44	0
309	0.57	0	1
309	0.62	1.25	0
309	1.65	0	1
309	1.65	1.25	0
309	1.34	1.25	0
309	0.8	1.25	0
309	0.83	1.25	0
309	0	2.43	0
309	4.78	2.43	0
309	0.84	1.25	0
309	1.6	1.25	0
309	1.26	1.25	0
309	0.37	2.43	0
309	0.89	1.25	0
309	0.68	1.25	0
309	0.84	1.25	0
309	1.49	1.25	0
309	1.02	1.25	0
309	1.18	1.25	0
309	0.69	1.25	0
309	1.61	1.25	0
309	0.47	2.43	0
309	1.73	2.43	0
309	4.71	1.25	0
309	1.05	2.43	0
309	1.22	1.25	0
309	0.09	1.25	0
309	1.16	1.25	0
309	0.9	1.25	0
309	0.33	1.25	0
309	1.8	1.25	0
309	0.43	1.25	0
309	1.61	1.25	0
309	0.62	1.25	0
309	1.54	1.25	0
309	0.52	1.25	0
309	0.66	3.44	0
309	1.37	1.25	0
309	1.71	0	1
309	1.57	1.25	0
309	0.96	1.25	0
309	0.56	1.25	0
309	0.8	1.25	0
309	0.72	1.25	0
309	3.59	1.25	0
309	3.97	1.25	0
309	1.97	1.25	0
309	0.31	3.44	0
309	0.48	1.25	0
309	0.63	1.25	0
309	1.54	1.25	0
309	2.04	2.43	0
309	1.75	1.25	0
309	0.79	1.25	0
309	1.37	1.25	0
309	1.41	1.25	0
309	0.63	1.25	0
309	0.57	1.25	0
309	3.1	2.43	0
309	4.45	1.25	0
309	0.33	1.25	0
309	0.56	1.25	0
309	0.22	1.25	0
309	1.26	1.25	0
309	0.77	1.25	0
309	1.63	1.25	0
309	0	0	1
309	0.62	1.25	0
309	0.84	1.25	0
309	0.78	1.25	0
309	4.12	2.43	0
309	0.79	1.25	0
309	1.17	1.25	0
309	3.52	2.43	0
309	1.54	2.43	0
309	0.68	1.25	0
309	1.89	1.25	0
309	0.44	1.25	0
309	1.49	1.25	0
309	2.93	1.25	0
309	1.04	1.25	0
309	0.88	1.25	0
309	0.8	1.25	0
309	1.14	1.25	0
309	1.09	1.25	0
309	0.78	1.25	0
309	4.19	2.43	0
309	0.84	1.25	0
309	4.07	2.43	0
309	2.87	1.25	0
309	0	1.25	0
 	0	1.25	0
309	0.6	0	2
309	1.59	2.43	0
309	1.33	2.43	0
