CT2010	BuiltFAR	ResidFAR	CommFAR
216	4.26	3.44	0
201.02	0	6	0
218	3.34	4	0
218	4.33	4	0
197.02	5.28	6	0
216	3.84	4	0
216	6.02	6	0
216	3.7	3.44	0
216	4.2	4	0
218	4.61	3.44	0
201.02	3.77	6	0
216	5.15	3.44	0
201.02	3.74	4	0
257	0	3	0
257	3.91	4	0
216	3.83	3.44	0
216	4.32	3.44	0
220	4.69	6	0
257	6.74	4	0
201.02	5.2	4	0
218	0	6	0
216	1.49	4	0
216	3.65	3.44	0
201.02	3.7	4	0
257	0	4	0
197.02	2.62	4	0
216	4.57	3.44	0
216	4.17	4	0
220	13.36	6	0
257	2.22	3	0
201.02	5.47	4	0
216	1.29	6.02	0
201.02	1.9	4	0
218	4.27	4	0
218	2.99	4	0
257	2.38	3	0
216	1.59	3.44	0
216	4.16	4	0
218	3.22	4	0
201.02	3.79	4	0
216	2.86	3.44	0
218	3.4	4	0
216	1.63	4	0
257	3.59	4	0
216	1.98	3.44	0
201.02	1.51	4	0
257	1.51	3	0
197.02	4.54	6	0
216	4.22	6	0
218	3.97	6	0
216	5.8	6	0
201.02	2.4	4	0
216	4.31	6	0
216	0	4	0
257	1.97	3	0
257	3.99	6	0
216	5.79	3.44	0
218	3.8	4	0
201.02	3.2	4	0
216	4.11	3.44	0
216	5.16	3.44	0
197.02	1.98	4	0
201.02	1.28	4	0
216	1.62	4	0
216	1.92	4	0
216	4.11	6	0
257	6.62	6	0
216	5.12	3.44	0
216	4.29	3.44	0
257	2.63	6	0
216	3.71	6	0
216	4.04	6	0
197.02	17.55	10	2
216	3.41	3.44	0
201.02	4.11	4	0
218	3.63	4	0
218	5	6	0
218	6.51	6	0
218	0	6	0
218	2.3	6	0
197.02	4.84	4	0
197.02	4.59	6	0
190	3.8	3.44	0
218	2.43	3.44	0
218	0.7	3.44	0
200	2.18	3.44	0
218	0	3.44	0
216	3.89	3.44	0
200	4.01	3.44	0
200	5.9	3.44	0
220	4.19	3.44	0
200	2.4	3.44	0
186	4.31	3.44	0
216	3.68	3.44	0
218	0.67	3.44	0
218	8.76	3.44	0
218	1.66	3.44	0
190	1.69	3.44	0
220	1.86	3.44	0
190	5.33	5	4
200	3.42	3.44	0
220	1.86	3.44	0
218	0.7	3.44	0
200	1.58	3.44	0
218	2.05	3.44	0
218	2.75	3.44	0
190	3.68	3.44	0
216	3.99	3.44	0
216	3.94	3.44	0
190	0.7	3.44	0
218	0.7	3.44	0
190	0	3.44	0
218	4.26	3.44	0
200	1.61	3.44	0
190	2.39	5	4
190	0.68	3.44	0
190	0.7	3.44	0
200	2.38	3.44	0
218	3.46	3.44	0
218	1.78	3.44	0
218	4.59	3.44	0
200	2.3	3.44	0
190	1.57	3.44	0
218	3.75	3.44	0
218	10.5	3.44	0
190	2.1	3.44	0
190	3.69	3.44	0
190	3.93	3.44	0
186	2.51	3.44	0
218	3.15	3.44	0
190	2.91	5	4
200	1.78	3.44	0
200	2.1	3.44	0
190	6.72	5	4
190	1.73	5	4
218	0.7	3.44	0
190	0.7	3.44	0
218	0.7	3.44	0
190	3.83	5	4
190	5.19	5	4
190	3.62	5	4
218	0.7	3.44	0
190	5.28	5	4
220	3.16	3.44	0
218	3.81	3.44	0
216	4.43	3.44	0
190	1.9	3.44	0
186	3.58	3.44	0
200	1.61	3.44	0
218	3.98	3.44	0
190	1.29	3.44	0
218	0.65	3.44	0
200	2.58	3.44	0
218	0	3.44	0
218	0.7	3.44	0
218	1.78	3.44	0
220	2.24	3.44	0
216	4.18	3.44	0
200	1.61	3.44	0
218	0	3.44	0
216	3.85	3.44	0
218	4.75	3.44	0
200	2.38	3.44	0
218	2.75	3.44	0
200	2.72	3.44	0
190	1.96	3.44	0
220	1.97	3.44	0
200	1.68	3.44	0
190	3.6	3.44	0
190	3.55	5	4
186	5.28	3.44	0
218	1.93	3.44	0
218	2.06	3.44	0
200	1.59	3.44	0
190	2.1	3.44	0
190	2	3.44	0
218	3.88	3.44	0
186	3.9	6.02	0
200	4.28	3.44	0
218	0.68	3.44	0
200	1.61	3.44	0
186	4.15	3.44	0
190	8.01	3.44	0
218	0.69	3.44	0
200	1.61	3.44	0
190	1.81	5	4
190	0	5	4
218	0.69	3.44	0
216	4.69	3.44	0
216	2.96	3.44	0
218	0.68	3.44	0
218	3.6	3.44	0
218	6.12	3.44	0
186	3.22	6.02	0
218	5.8	3.44	0
218	0	3.44	0
200	1.61	3.44	0
216	3.87	3.44	0
218	3.95	3.44	0
218	3.75	3.44	0
218	0.7	3.44	0
190	0	3.44	0
218	1.9	3.44	0
218	0.68	3.44	0
186	4.15	3.44	0
200	1.81	3.44	0
190	1.37	5	4
218	4.58	3.44	0
216	3.84	3.44	0
218	0.7	3.44	0
218	0.94	3.44	0
200	2.85	3.44	0
190	5.35	5	4
186	4.31	3.44	0
218	9.13	3.44	0
218	3	3.44	0
218	4.21	3.44	0
220	1.87	3.44	0
218	2.79	3.44	0
190	0	3.44	0
190	2.07	3.44	0
186	3.55	6.02	0
200	1.86	3.44	0
218	4.26	3.44	0
190	3.86	3.44	0
216	4.34	3.44	0
216	3.8	3.44	0
190	4.26	3.44	0
218	1.98	3.44	0
216	5.69	3.44	0
218	3.78	3.44	0
190	5.41	5	4
216	3.8	3.44	0
218	0.7	3.44	0
200	3.3	3.44	0
218	3.84	3.44	0
186	3.52	6.02	0
200	1.81	3.44	0
200	2.31	3.44	0
200	1.87	3.44	0
190	1.56	3.44	0
200	2.06	3.44	0
190	1.57	3.44	0
218	3.91	3.44	0
190	3.87	3.44	0
220	4.47	3.44	0
190	3.8	3.44	0
218	0.7	3.44	0
200	1.72	3.44	0
216	3.67	3.44	0
218	3.81	3.44	0
190	2.01	3.44	0
200	0	3.44	0
190	1.86	3.44	0
218	1.94	3.44	0
200	2.44	3.44	0
190	0	3.44	0
200	1.76	3.44	0
218	4.26	3.44	0
218	4.54	3.44	0
216	3.81	3.44	0
218	1.49	3.44	0
190	2.06	3.44	0
218	0.7	3.44	0
218	3.68	3.44	0
218	0	3.44	0
216	3.87	3.44	0
190	2.54	3.44	0
200	1.72	3.44	0
186	5.05	3.44	0
200	3.61	3.44	0
216	3.87	3.44	0
218	0.7	3.44	0
200	1.81	3.44	0
216	3.67	3.44	0
190	1.82	3.44	0
190	1.61	3.44	0
218	2.48	3.44	0
216	4.58	3.44	0
186	4.15	3.44	0
218	2.85	3.44	0
190	0	3.44	0
190	2.45	3.44	0
186	1.08	3.44	0
218	0.7	3.44	0
190	1.57	3.44	0
190	3.54	3.44	0
200	3.78	3.44	0
218	0.7	3.44	0
200	2.58	3.44	0
190	1.5	3.44	0
218	0.7	3.44	0
190	0	5	4
220	3.07	3.44	0
190	3.32	3.44	0
190	0.7	3.44	0
190	2.04	3.44	0
190	3.93	3.44	0
218	0.7	3.44	0
200	1.83	3.44	0
218	2.53	3.44	0
218	0	3.44	0
200	1.98	3.44	0
190	0.67	3.44	0
200	1.34	3.44	0
220	5.16	3.44	0
190	2.22	3.44	0
190	1.98	3.44	0
190	3.65	3.44	0
216	3.67	3.44	0
186	4.15	3.44	0
218	1.45	3.44	0
220	3.48	3.44	0
218	1.49	3.44	0
190	1.98	3.44	0
186	3.5	3.44	0
200	5.94	3.44	0
216	3.67	3.44	0
186	4.11	3.44	0
218	2.6	3.44	0
200	1.81	3.44	0
218	3.05	3.44	0
200	1.81	3.44	0
200	3.88	3.44	0
216	4.04	3.44	0
216	2.64	3.44	0
200	0	3.44	0
218	0.7	3.44	0
218	0.7	3.44	0
218	1.94	3.44	0
190	1.57	3.44	0
200	1.73	3.44	0
190	2.85	5	4
216	4.53	3.44	0
220	1.86	3.44	0
190	3.94	3.44	0
218	0.7	3.44	0
216	4.06	3.44	0
218	1.78	3.44	0
218	2.2	3.44	0
200	3.23	3.44	0
186	6.96	6.02	0
218	3.35	3.44	0
200	1.39	3.44	0
218	3.9	3.44	0
220	2.54	3.44	0
218	0.7	3.44	0
190	2.99	3.44	0
186	1.25	3.44	0
190	0	5	4
218	1.93	3.44	0
190	3.67	3.44	0
190	3.64	3.44	0
218	3.98	3.44	0
216	3.65	3.44	0
218	0	3.44	0
220	2.72	3.44	0
218	0	3.44	0
190	0	3.44	0
200	2.48	3.44	0
190	1.9	3.44	0
200	2.45	3.44	0
186	4.53	6.02	0
218	0.68	3.44	0
190	4.3	3.44	0
190	1	3.44	0
190	0.68	3.44	0
216	3.87	3.44	0
200	1.64	3.44	0
218	2.06	3.44	0
218	1.1	3.44	0
200	2.48	3.44	0
200	2.54	3.44	0
218	0.7	3.44	0
200	2.62	3.44	0
186	4.25	6.02	0
190	0	3.44	0
200	1.69	3.44	0
190	2.54	3.44	0
220	4.48	3.44	0
200	2.49	3.44	0
218	3.78	3.44	0
218	5.79	3.44	0
200	1.61	3.44	0
186	5.14	3.44	0
190	3.69	3.44	0
190	0.82	5	4
218	3.78	3.44	0
200	1.86	3.44	0
200	1.69	3.44	0
218	1.58	3.44	0
218	0.7	3.44	0
200	1.5	3.44	0
216	3.87	3.44	0
218	2.58	3.44	0
200	3.8	3.44	0
190	0	5	4
218	2.51	3.44	0
218	4.19	3.44	0
218	3.42	3.44	0
218	2.55	3.44	0
218	4.08	3.44	0
190	2.06	3.44	0
200	1.58	3.44	0
218	0	3.44	0
190	0	5	4
218	1.86	3.44	0
218	1.98	3.44	0
200	3.58	3.44	0
218	0	3.44	0
200	4.19	3.44	0
200	1.28	3.44	0
218	3.88	3.44	0
216	0.99	3.44	0
218	0.7	3.44	0
190	2.58	3.44	0
200	1.34	3.44	0
190	0.7	3.44	0
200	1.81	3.44	0
200	2.75	3.44	0
200	1.86	3.44	0
186	0	0	0
218	4.32	3.44	0
200	1.81	3.44	0
218	0.7	3.44	0
200	1.83	3.44	0
218	0.7	3.44	0
190	1.8	3.44	0
190	3.74	3.44	0
190	0	3.44	0
218	0	3.44	0
218	3.06	3.44	0
190	3.5	5	4
222	1.24	3.44	0
220	1.76	3.44	0
220	2.08	3.44	0
222	1.9	10	10
220	1.87	4	0
200	2.86	3.44	0
222	2.47	4	0
220	3.66	3.44	0
220	3.88	4	0
